condition,pathogenic_variant_count
Hereditary cancer-predisposing syndrome,55531
Inborn genetic diseases,36508
Cardiovascular phenotype,21825
Hereditary breast ovarian cancer syndrome,13684
Familial cancer of breast,11460
Dilated cardiomyopathy 1G,8953
Autosomal recessive limb-girdle muscular dystrophy type 2J,8280
Familial thoracic aortic aneurysm and aortic dissection,7532
Hereditary nonpolyposis colorectal neoplasms,6766
"Neurofibromatosis, type 1",6191
Cardiomyopathy,5602
Retinal dystrophy,5391
"Breast-ovarian cancer, familial, susceptibility to, 2",5377
Primary ciliary dyskinesia,4763
"Breast-ovarian cancer, familial, susceptibility to, 1",4689
Marfan syndrome,4616
Ataxia-telangiectasia syndrome,4307
Lynch syndrome,3329
Early-infantile DEE,2985
Tuberous sclerosis 2,2929
Duchenne muscular dystrophy,2900
Familial adenomatous polyposis 1,2877
Joubert syndrome,2850
Fanconi anemia,2744
Nemaline myopathy 2,2688
Hypertrophic cardiomyopathy,2598
Retinitis pigmentosa,2554
Long QT syndrome,2420
Spastic paraplegia,2257
Cystic fibrosis,2192
Meckel-Gruber syndrome,2088
"Hypercholesterolemia, familial, 1",2042
Tuberous sclerosis syndrome,1998
Lynch syndrome 1,1934
Bethlem myopathy 1A,1895
"Polycystic kidney disease, adult type",1864
Arrhythmogenic cardiomyopathy with wooly hair and keratoderma,1837
Osteogenesis imperfecta type I,1831
Nephronophthisis,1812
Lynch syndrome 5,1789
Intellectual disability,1746
Familial hypercholesterolemia,1628
Usher syndrome type 2A,1557
Autosomal recessive polycystic kidney disease,1552
Bardet-Biedl syndrome,1546
Arrhythmogenic right ventricular dysplasia 8,1492
"Ehlers-Danlos syndrome, classic type, 1",1471
Gorlin syndrome,1449
Alstrom syndrome,1384
"Colorectal cancer, hereditary nonpolyposis, type 2",1336
Retinitis pigmentosa 39,1335
Primary dilated cardiomyopathy,1296
Charcot-Marie-Tooth disease type 2,1289
Tuberous sclerosis 1,1284
6 conditions,1230
CHARGE syndrome,1228
RYR1-related disorder,1226
Early-onset myopathy with fatal cardiomyopathy,1225
"Hypercholesterolemia, autosomal dominant, type B",1223
Fabry disease,1222
Li-Fraumeni syndrome,1220
Familial hypobetalipoproteinemia 1,1197
Tibial muscular dystrophy,1192
"Myopathy, myofibrillar, 9, with early respiratory failure",1178
Catecholaminergic polymorphic ventricular tachycardia 1,1151
Breast and/or ovarian cancer,1148
Fanconi anemia complementation group J,1142
Hypertrophic cardiomyopathy 26,1142
Cohen syndrome,1133
Wilson disease,1123
Endometrial carcinoma,1110
CFTR-related disorder,1109
Gastrointestinal stromal tumor,1109
Maturity-onset diabetes of the young,1104
Hereditary diffuse gastric adenocarcinoma,1101
Malignant tumor of breast,1090
Charlevoix-Saguenay spastic ataxia,1080
"Autosomal recessive ataxia, Beauce type",1080
Myofibrillar myopathy 5,1060
LAMA2-related muscular dystrophy,1057
Familial adenomatous polyposis 2,1055
Distal myopathy with posterior leg and anterior hand involvement,1054
Autosomal recessive Alport syndrome,1036
Retinoblastoma,1036
Polycystic kidney disease 4,1035
Usher syndrome type 1,1035
Ellis-van Creveld syndrome,1034
Charcot-Marie-Tooth disease,1026
Kabuki syndrome,1004
Gastric cancer,1001
"Malignant hyperthermia, susceptibility to, 5",999
"Emery-Dreifuss muscular dystrophy 4, autosomal dominant",997
RASopathy,984
Neuromuscular disease caused by qualitative or quantitative defects of dysferlin,956
DICER1-related tumor predisposition,953
Kabuki syndrome 1,949
Fanconi anemia complementation group A,929
Hereditary spastic paraplegia,922
Monogenic diabetes,911
Von Hippel-Lindau syndrome,911
"Glycogen storage disease, type II",907
Alport syndrome,906
Jeune thoracic dystrophy,906
Leber congenital amaurosis,902
"Malignant hyperthermia, susceptibility to, 1",902
Phenylketonuria,895
Lynch syndrome 4,893
X-linked Alport syndrome,885
PTEN hamartoma tumor syndrome,878
"Hyperaldosteronism, familial, type IV",869
"Mucopolysaccharidosis, MPS-II",841
Cardiac arrhythmia,826
Pheochromocytoma,823
Leber congenital amaurosis 8,812
Bloom syndrome,811
Type 2 diabetes mellitus,806
"Thyroid cancer, nonmedullary, 1",806
Charcot-Marie-Tooth disease type 4,803
Rare genetic deafness,798
Episodic ataxia type 2,789
"Ehlers-Danlos syndrome, type 4",781
"Microcephaly, normal intelligence and immunodeficiency",770
"Hypokalemic periodic paralysis, type 1",768
8 conditions,763
"Niemann-Pick disease, type C1",757
"Developmental and epileptic encephalopathy, 42",755
Autosomal recessive limb-girdle muscular dystrophy type 2Q,753
"Epidermolysis bullosa simplex 5B, with muscular dystrophy",752
Epidermolysis bullosa simplex with nail dystrophy,752
Juvenile polyposis syndrome,751
Bronchiectasis with or without elevated sweat chloride 1,751
Fanconi anemia complementation group O,751
"Epidermolysis bullosa simplex 5C, with pyloric atresia",749
Adams-Oliver syndrome 5,747
Rhabdoid tumor predisposition syndrome 2,744
"Multiple endocrine neoplasia, type 1",742
"Epidermolysis bullosa simplex, Ogna type",741
Retinitis pigmentosa 25,737
Li-Fraumeni syndrome 1,737
Juvenile myelomonocytic leukemia,736
Hereditary spastic paraplegia 11,725
Primary ciliary dyskinesia 3,722
